ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.58;300;395;467542;11:31:08.004208
0.53;303;397;469862;11:31:10.323944
0.53;303;397;469892;11:31:10.354487
0.56;302;397;469925;11:31:10.388139
0.55;302;397;469960;11:31:10.422667
0.56;302;397;470002;11:31:10.465106
0.54;302;397;470039;11:31:10.501790
0.55;302;397;470078;11:31:10.541122
0.56;302;397;470117;11:31:10.579706
0.58;300;395;470181;11:31:10.643558
0.58;300;395;470235;11:31:10.696882
0.58;300;395;470291;11:31:10.753421
