ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.5;302;397;565497;11:32:45.961184
0.56;299;394;568682;11:32:49.146376
0.58;298;394;568747;11:32:49.211092
0.57;298;394;568812;11:32:49.277029
0.57;299;394;568897;11:32:49.362264
0.55;299;395;568955;11:32:49.419351
0.57;299;394;569006;11:32:49.470916
0.58;298;394;569070;11:32:49.534877
0.58;297;393;569131;11:32:49.595486
0.58;297;393;569185;11:32:49.649123
0.58;297;393;569239;11:32:49.702983
0.59;297;393;569294;11:32:49.758681
0.55;299;394;569352;11:32:49.816705
0.55;299;395;569413;11:32:49.878182
0.56;299;394;569471;11:32:49.935851
0.55;299;395;569524;11:32:49.988691
0.57;299;395;569567;11:32:50.030694
0.53;300;395;569600;11:32:50.065067
0.53;300;395;569641;11:32:50.105489
0.57;299;395;569684;11:32:50.147612
0.55;299;395;569722;11:32:50.186205
0.55;299;395;569756;11:32:50.220558
0.55;299;395;569791;11:32:50.255475
0.6;297;393;569827;11:32:50.291237
0.58;297;393;569858;11:32:50.322423
0.6;296;393;569897;11:32:50.361600
